step,agent_pos_y,agent_pos_x,reward,penalty,alignment_bonus,distance_bonus
1,232,368,7.678885217075531,0.0,1.6398956518868468,4.875
2,239,374,11.544494782594343,0.0,3.75,5.625
3,246,380,12.857555362012638,0.0,4.139895651886847,6.5
4,239,386,11.481994782594345,0.0,3.75,5.500000000000001
5,232,392,10.092902261150892,0.0,3.360104348113153,4.5
6,225,384,6.298164927531447,0.0,1.25,3.75
7,218,383,6.866284223598383,0.0,2.5,2.8749999999999996
8,218,375,4.129873695648585,0.0,0.0,2.8749999999999996
9,218,367,4.620782221928777,0.0,0.38989565188684683,3.0
10,211,359,4.595297913037736,0.0,1.25,2.1249999999999996
11,204,351,3.3226043481131526,0.0,0.8601043481131532,1.2499999999999996
12,204,343,2.55,0.0,0.0,1.375
13,211,349,7.946101043481131,0.0,3.75,2.1249999999999996
14,218,348,6.858601043481132,0.0,2.5,3.0
15,218,340,4.643794608405714,0.0,0.38989565188684683,3.1249999999999996
16,225,332,6.378898956518868,0.0,1.25,4.0
17,225,324,5.4976935649245835,0.0,0.38989565188684683,4.0
18,232,316,7.370297913037737,0.0,1.25,5.0
19,232,322,11.941398956518867,0.0,5.0,4.875
20,225,328,9.84139895651887,0.0,3.75,4.0
21,225,320,5.182797913037737,0.0,0.0,4.0
22,218,319,7.0327979130377365,0.0,2.5,3.1249999999999996
23,225,318,7.895297913037736,0.0,2.5,4.0
24,225,310,5.5640925214434525,0.0,0.38989565188684683,4.0
25,225,302,5.295297913037737,0.0,0.0,4.125
26,232,294,7.420297913037737,0.0,1.25,5.0
27,232,286,6.6851935649245835,0.0,0.38989565188684683,5.125
28,225,278,6.670297913037737,0.0,1.25,4.25
29,218,277,7.220297913037737,0.0,2.5,3.3749999999999996
30,225,283,10.314092521443452,0.0,4.139895651886847,4.125
31,218,275,5.7866968695566054,0.0,1.25,3.3749999999999996
32,225,274,8.111696869556605,0.0,2.5,4.25
33,218,273,7.236696869556606,0.0,2.5,3.3749999999999996
34,225,272,8.526592521443451,0.0,2.8898956518868464,4.25
35,232,264,7.574196869556605,0.0,1.25,5.125
36,239,270,12.142991477962322,0.0,4.139895651886847,5.875
37,232,276,10.911696869556605,0.0,3.75,5.0
38,232,282,11.68040226115089,0.0,4.610104348113153,4.875
39,239,288,11.707797913037737,0.0,3.75,5.750000000000001
40,239,280,7.016398956518869,0.0,0.0,5.750000000000001
41,239,272,7.128898956518868,0.0,0.0,5.875
42,232,271,8.560104348113153,0.0,2.110104348113153,5.0
43,225,277,9.9125,0.0,3.75,4.0
44,218,276,7.0836010434811305,0.0,2.5,3.1249999999999996
45,211,282,7.664806435075417,0.0,3.360104348113153,2.1249999999999996
46,218,288,8.925803130443393,0.0,3.75,3.0
47,225,287,7.838303130443394,0.0,2.5,3.8749999999999996
48,225,293,10.917202086962263,0.0,5.0,3.75
49,232,285,7.242202086962262,0.0,1.25,4.749999999999999
50,239,291,11.429702086962266,0.0,3.75,5.500000000000001
51,246,297,12.342202086962264,0.0,3.75,6.374999999999999
52,239,289,8.058601043481133,0.0,1.25,5.500000000000001
53,246,295,12.727395651886848,0.0,4.139895651886847,6.374999999999999
54,253,287,9.299999999999999,0.0,1.25,6.75
